ID_INTERESTRATETYPE,INTEREST_RATE_TYPE_NAME,CREATION_DATE,CREATED_BY,MODIFICATION_DATE,MODIFIED_BY
2,Floating,20-6-2018 10:02:16,guillaume.marois,20-6-2018 10:02:23,guillaume.marois
8,Fixed,10-12-2018 11:22:00,guillaume.marois,2-3-2021 15:05:42,Kevin.Allamagbo
