ID_POOL,POOL_NAME,CREATION_DATE,CREATED_BY,MODIFICATION_DATE,MODIFIED_BY
1,Global,5-10-2018 09:51:41,guillaume.marois,5-10-2018 09:51:45,guillaume.marois
2,Targeted,19-6-2018 13:56:07,guillaume.marois,,
