ID_REPAYMENTTYPE,REPAYMENT_TYPE_NAME,CREATION_DATE,CREATED_BY,MODIFICATION_DATE,MODIFIED_BY
2,Bullet,19-6-2018 14:17:05,guillaume.marois,,
6,AMORTIZATION,29-10-2018 16:57:09,guillaume.marois,,
