CCY_ISO,FX_RATE_DATE,FX_RATE,IMPORTATION_DATE,IMPORTED_BY
IDR,31-3-2020 00:00:00,16310.00,3-6-2020 19:22:17,marco.putotto
IDR,30-6-2020 00:00:00,14285.01,7-9-2020 10:40:54,Kevin.Allamagbo
IDR,30-9-2020 00:00:00,14880.00,24-11-2020 11:32:48,Kevin.Allamagbo
INR,31-12-2017 00:00:00,63.82,6-8-2018 15:44:16,guillaume.marois
INR,31-3-2018 00:00:00,65.22,6-8-2018 15:44:16,guillaume.marois
INR,30-6-2018 00:00:00,64.08,24-10-2018 15:49:23,guillaume.marois
INR,30-9-2018 00:00:00,64.08,13-11-2018 17:06:09,guillaume.marois
INR,31-12-2018 00:00:00,69.81,11-2-2019 11:59:04,guillaume.marois
INR,31-3-2019 00:00:00,64.08,27-5-2019 10:57:34,guillaume.marois
INR,30-6-2019 00:00:00,64.08,3-6-2020 18:43:21,marco.putotto
INR,30-9-2019 00:00:00,70.86,10-12-2019 16:29:45,Christophe.Fraulob
INR,31-12-2019 00:00:00,71.37,27-2-2020 11:05:15,nawel.octave
INR,31-3-2020 00:00:00,75.65,3-6-2020 19:22:17,marco.putotto
INR,30-6-2020 00:00:00,75.50,7-9-2020 10:40:54,Kevin.Allamagbo
INR,30-9-2020 00:00:00,73.77,24-11-2020 11:32:48,Kevin.Allamagbo
KES,30-9-2019 00:00:00,101.35,7-1-2020 00:00:00,Christophe.Fraulob
KES,31-12-2019 00:00:00,101.35,27-2-2020 11:05:15,nawel.octave
KES,31-3-2020 00:00:00,105.05,3-6-2020 19:22:17,marco.putotto
KES,30-6-2020 00:00:00,106.55,7-9-2020 10:40:54,Kevin.Allamagbo
KES,30-9-2020 00:00:00,108.50,24-11-2020 11:32:48,Kevin.Allamagbo
KGS,31-12-2017 00:00:00,69.13,6-8-2018 15:44:16,guillaume.marois
KGS,31-3-2018 00:00:00,68.18,6-8-2018 15:44:16,guillaume.marois
KGS,30-6-2018 00:00:00,68.15,24-10-2018 15:49:23,guillaume.marois
KGS,30-9-2018 00:00:00,68.74,13-11-2018 17:06:09,guillaume.marois
KGS,31-12-2018 00:00:00,69.85,11-2-2019 11:59:04,guillaume.marois
