empty;CCY_ISO;FX_RATE_DATE;FX_RATE
;CNH;30-06-21;6.46087400000000000000
;KES;30-06-21;107.89999200000000000000
;NGN;30-06-21;410.00008400000000000000
;MWK;30-06-21;804.87574800000000000000
;EUR;30-06-21;0.84324142001855100000
;INR;30-06-21;74.33000300000000000000
;USD;30-06-21;1.00000000000000000000
;MXN;30-06-21;19.91049000000000000000
;PEN;30-06-21;3.83249000000000000000
;THB;30-06-21;32.05999700000000000000
;PLN;30-06-21;3.80702400000000000000
;GHS;30-06-21;5.88999900000000000000
;KZT;30-06-21;427.24504600000000000000
;HNL;30-06-21;23.86508100000000000000
;CNY;30-06-21;6.46146400000000000000
;TJS;30-06-21;11.30592800000000000000
;BWP;30-06-21;10.91706700000000000000
;TZS;30-06-21;2319.00042200000000000000
;ZMW;30-06-21;22.63500300000000000000
;UZS;30-06-21;10591.00000000000000000000
;MNT;30-06-21;2858.00202400000000000000
;KGS;30-06-21;84.70090200000000000000
;MMK;30-06-21;1616.50000000000000000000
;MDL;30-06-21;18.00632400000000000000
;IDR;30-06-21;14500.00042200000000000000
;COP;30-06-21;3734.00025300000000000000
;ZAR;30-06-21;14.27873300000000000000
;GEL;30-06-21;3.16000500000000000000
;CNH;30-09-21;6.45398900000000000000
;KES;30-09-21;110.50002200000000000000
;NGN;30-09-21;413.75003200000000000000
;MWK;30-09-21;815.94102400000000000000
;EUR;30-09-21;0.86284999352862500000
;INR;30-09-21;74.22749000000000000000
;USD;30-09-21;1.00000000000000000000
;MXN;30-09-21;20.54445800000000000000
;PEN;30-09-21;4.13460500000000000000
;THB;30-09-21;33.66625000000000000000
;PLN;30-09-21;3.97126700000000000000
;GHS;30-09-21;6.01000900000000000000
;KZT;30-09-21;426.24509300000000000000
;HNL;30-09-21;24.14500200000000000000
;CNY;30-09-21;6.46214200000000000000
;TJS;30-09-21;11.26726800000000000000
;BWP;30-09-21;11.31882300000000000000
;TZS;30-09-21;2306.00064700000000000000
;ZMW;30-09-21;16.74998900000000000000
;UZS;30-09-21;10692.00000000000000000000
;MNT;30-09-21;2862.50304200000000000000
;KGS;30-09-21;84.79999100000000000000
;MMK;30-09-21;1962.50000000000000000000
;MDL;30-09-21;17.63501400000000000000
;IDR;30-09-21;14312.50032400000000000000
;COP;30-09-21;3811.93028200000000000000
;ZAR;30-09-21;15.04499800000000000000
;GEL;30-09-21;3.11199800000000000000
;USD;30-11-21;1.00000000000000000000
;EUR;30-11-21;0.88794175600000000000
;USD;22-11-21;1.00000000000000000000
;EUR;12-11-21;0.87382034253757400000
;NGN;21-10-21;413.37004059293800000000
;KGS;22-11-21;84.80000000000000000000
;USD;27-10-21;1.00000000000000000000
;USD;14-11-21;1.00000000000000000000
;USD;31-01-17;1.00000000000000000000
;MXN;08-05-17;19.00000000000000000000
;MXN;24-11-17;18.77000000000000000000
;PEN;13-11-17;3.24750000250000000000
;USD;20-12-17;1.00000000000000000000
;MXN;22-12-17;78.18668542399810000000
;MXN;05-04-18;18.20000000000000000000
;THB;12-04-18;31.20999918437870000000
;PLN;31-05-18;4.17219241304348000000
;USD;17-07-18;1.00000000000000000000
;USD;30-08-18;1.00000000000000000000
;MXN;03-08-18;18.65000001390270000000
;GHS;04-09-18;4.91500000000000000000
;MXN;14-09-18;19.24999974671050000000
;MXN;16-08-18;19.00000000000000000000
;USD;02-10-18;1.00000000000000000000
;USD;05-11-18;1.00000000000000000000
;TJS;13-12-18;9.42290000000000000000
;USD;21-12-18;1.00000000000000000000
;USD;20-12-18;1.00000000000000000000
;USD;19-12-18;1.00000000000000000000
;BWP;28-12-18;10.86956571428570000000
;MXN;28-12-18;19.69000000000000000000
;USD;14-12-18;1.00000000000000000000
;USD;17-01-19;1.00000000000000000000
;USD;29-01-19;1.00000000000000000000
;THB;22-01-19;32.69000000000000000000
;BWP;12-03-19;10.64962726400000000000
;INR;15-02-19;73.11375902067110000000
;INR;20-03-19;66.00000377142880000000
;TZS;19-12-18;2283.67840000000000000000
;USD;25-04-19;1.00000000000000000000
;USD;23-04-19;1.00000000000000000000
;USD;26-04-19;1.00000000000000000000
;USD;15-05-19;1.00000000000000000000
;USD;22-05-19;1.00000000000000000000
;USD;02-05-19;1.00000000000000000000
;THB;23-04-19;31.82000000000000000000
;USD;07-05-19;1.00000000000000000000
;THB;07-05-19;32.02000000000000000000
;USD;06-06-19;1.00000000000000000000
;EUR;25-06-19;0.87804021424181200000
;USD;27-06-19;1.00000000000000000000
;USD;31-07-19;1.00000000000000000000
;KZT;05-07-19;375.00000000000000000000
;USD;09-09-19;1.00000000000000000000
;EUR;06-09-19;0.91190953857377300000
;USD;22-07-19;1.00000000000000000000
;USD;15-10-19;1.00000000000000000000
;EUR;04-12-19;0.90171325518485100000
;USD;16-12-19;1.00000000000000000000
;USD;23-12-19;1.00000000000000000000
;UZS;13-11-19;10937.77550000000000000000
;UZS;15-11-19;9490.77000000000000000000
;NGN;20-12-19;362.99999897150000000000
;NGN;23-12-19;364.00000000000000000000
;KES;23-12-19;100.90060000000000000000
;BWP;27-12-19;10.69518716600000000000
;EUR;23-12-19;0.90236419418877500000
;KGS;21-11-19;70.15000000000000000000
;USD;21-02-20;1.00000000000000000000
;USD;31-01-20;1.00000000000000000000
;USD;26-02-20;1.00000000000000000000
;MMK;27-02-20;1446.70000000000000000000
;USD;17-03-20;1.00000000000000000000
;USD;30-03-20;1.00000000000000000000
;MDL;04-03-20;17.70460000000000000000
;MXN;11-03-20;19.79000000000000000000
;USD;12-03-20;1.00000000000000000000
